id,tool,context,text,mw_ny,ke_sw,tj_tg,zm_ny,archived,zm_bem,zm_toi,zm_loz,zm_lun,zm_kqn,zm_lue,mw_tum,country_code
budget--options,budget,,Options,"Zisankho ",,,Zosankha,,,,,,,,,
budget--outputs,budget,,Outputs,zotuluka,Matokeo,Натиҷаҳо,zotuluka,,Ififumamo,Milimo yabelekwa (output),zezwa mwateni,zhafumangámu,bintu bikafumamo,Nganyo,Vyakufuma,
budget--produceconsumed,budget,,Produce Consumed,zokolola zomwe zagwiritsidwa ntchito,Kuzalisha Iliyotumiwa,Маҳсулоти истеъмолшуда,zokolola zomwe zagwiritsidwa ntchito,,Ifya kulya ifyaliwa,,likutulo zeitusisizwe,yuma yimunangúli yinadewi,kajo komwaja,Mbuto inaliwa,Vyakukolola ivyo vyalyeka,
budget--purchased,budget,,Purchased,Zogulidwa,,,Zogulidwa,,Icashitilwe,Izyakaulwa,Ze lekilwe,zhimunalandi,bintu bymwapota,Vinalanjiwa,Ivyo tagula,
budget--quantity,budget,,Quantity,kuchuluka,,,kuchuluka kwake,,Ubwingi,Ikuvwula kwazyintu,buima,chipezu,nambala ya bintu bikebewa,Kuvula cha vyuma,Unandi wake,
budget--savedbudgets,budget,,Saved Budgets," ndondomeko za ndalama zosungidwa",Bajeti zilizohifadhiwa,Буҷетҳои захирашуда,bajeti yosungidwa,,Ubutantiko bwa ndalama ishasungilwe,Ibudget jomujisi jomwakabikka ambali,mubuluke lipampili ya mashelengi yemukai tusisa,bajeti yinahembiwu,mwaba wa maali ye mwalama,Tunalame Vilongeselo vya mwakuzachila jimbongo,Ma bajeti ghakusungika,
budget--saveyourbudget,budget,,Save your budget,sungani ndondomeko ya ndalama yanu,,,sungani bajeti yanu,,Sunga ndalama shobe,Amubone kuti mwayiyobola budget yanu,mubuluke pampili ya mashelengi yemukai tusisa,hembenu bajeti yenu,sungai bulongo mwaba wenu wa maali,Lama vilongeselo vyove vya mukuzachishila jimbongo,Sungani Bajeti yinu,
budget--select,budget,,Select,sankhani,,Интихоб кардан,sankhani,,Sala,Amusale,amukete,sakulenu,salai byomukeba,Sakula,Sankhani,
budget--selectenterprise,budget,,Select Enterprise,sankhani mtundu wa bizinezi,,,sankhani malonda,,Saleni ubukwebo,Amusale makwebo,kuketa li kampani,sakulenu wuselewa,salai mingilo ya busulu,Sakulaho lizavu lya vakakusekasana,Sankhani bizinesi,
budget--share,budget,,Share,tumizani,,,gawani,,Ukwakanya,Amwabane budget,kuabana,anjangána,abanyai,Kupangila,Gawani panji tumizgani,
budget--shareapplink,budget,,Share App Link,Tumizani pulogalamu,,,Gawani ulalo wa kulimikiza ku pulogilamu (App),,Ukwakana ukusuntikanya kwa app,Amwabane App link,Muhabane mukwa wakutusisa wa app,anjangánaku chakukobwesha ku app,abanyai yeo App mumu sabilo,Pangila jila ya chinyingi chamakina,Gawani panji tumizgani App Linki,
budget--shareaspicture,budget,,Share as Picture,tumizani ngati chithunzi,,,gawani monga chithunzi,,Ukwakanya nge cikope,Amwabane zyimfwanikiso,Muhabane inge pi pikicala,yitumu mumwevulu,abanyai nobe kipikikyala,Pangila muvwimbimbi,Gawani panji tumizgani ngeti chithuzithuzi (Pikichala),
budget--sharebudget,budget,,Share Budget,tumizani ndondomeko ya ndalama kwa ena,,,gawani bajeti,,Ukwakanya indalama,Amwabane Budget,muhabane momukai tusisa mashelengi,pangílaku bajeti,abanyai mwaba wa maali,Pangila vilongeselo vya mwakuzachishila jimbongo,Gawani panji tumizgani bajeti kuwanyinu,
budget--showallbudgets,budget,,Show All Budgets,Onetsani ndondomeko za ndalama zonse,,,,true,,,,,,,,
budget--showmore,budget,,Show More,onetsani zambiri,,Намоиши бештар,onetsani zambiri,,Langisheni nafimbi,Amutondezye zyinji,mubonise zengata,talishaku zhazhivulu,mweshai byavula,Solola vyavivulu,Oneskani vinandi,
budget--starting,budget,,starting,,,,,,,,,,,,,
budget--startingin,budget,,starting in,kuyambira mu,,Оғози,kuyambira,true,Ukutendeka mu,Aakutalikila,ku kalela,kutachikisha,kutendekatu mu,Kuputuka mu,Kuyambira mu,
budget--summary,budget,,Summary,Chidule,,,,,,,,,,,,
budget--thecropfiltershowsmoreinformationforspecificcrops,budget,,The crop filter shows more information for specific crops,Posankhila mtundu wa mbewu pomwe pamaonetsa uthenga wambiri wa mbewu zosiyanasiyana,,,Chosefera cha mbeu chimawonetsa zambiri zokhudza mbeu zina.,,Icilimwa cakusefa cilanga amashiwi nayambi aya fyakulima ifimo,Imilumbe iitodezya kujatikizya zyazyisyango,zaku fefulisa licalo za fanga mangusa a mifuta ya licalo zemu .,"chakusefela mbutu, chamwekeshangá sangú yayivulu yambutu yamboka",mutanchi wa bijimwa ubena kumwesha masabwakya apa bijimwa byasalwa,Chitwa cha mbuto chinasolola mazu amavulu a kala mbuto,Chakusefers mbewu chikuoneska uthenga wunandi wa mbewu zakusankhika,
budget--thematurityandwaterrequirementscanbeusedtocalculatethechanceofsatisfyingtheseconditionsforaspecificplantingdate,budget,,The maturity and water requirements can be used to calculate the chance of satisfying these conditions for a specific planting date,Kakhwimidwe komanso madzi amene amafunikira pa mbewu zikhoza kugwiritsidwa ntchito kuwerengetsera masiku obzalira mbewu,,,Masiku okhwima ndi zofunikira za madzi zitha kugwiritsidwa ntchito kuwerengera mwayi wokwaniritsa izi pa tsiku losankhira kubzala.,,Ukukula no kufwaya kwa amenshi kuti fyabomfiwa ku kupenda ishuko lya kufikilisha ifi fintu pa bushiku bwa kubyala ubwalinga,Kubizya alimwi ameenda ayandika inga mwabelesya kuzyiba kucinca mbuli cisyango mbocakwana kuciindi cakusyanga,kuhula ni mezi atokwahala yakona ku tusa ku bala maata a zeliteni mwa mazazi a lukile,mafuku akukula nichipimu chamenzhi akengékangá anateli kuyizatisha kwiluka kutela chakwilika iyi yuma kweseka nefuku dakutumba,Kukoma ne mpilo ya byo ne bintu byonse abyo bikebewa biji nobe meema pakubaamba mukonshe kuyuka nanyi bintu bikebewa kufumatu juba jakubyala nkunwa ne nambala ya moba akukapilamo kyokyo kijimwa ne yeo mutundu wa nkunwa,kuhya hamwe na meya akutamo vana hase kuvizachisa nakuwana likumbi lyatela kutumba kala muyachi wambuto,Kucha na unandi wamaji ghakukhumbikwa vingagwiriskika ntchito pakuwerengera mwabi wakukwaniriska ivyo vikukhumbikwa pa data lakupandira ilo lasankhika,
budget--thisisthenumberofdaystomaturityforthevariety,budget,,This is the number of days to maturity for the variety,Awa ndi masiku amene mtundu wa mbewu imatenga kuti ikhwime,,,Awa ndi masiku okula kwa mbewu ya mtunduwo.,,Iyi e mpendwa ya nshiku ukufika ku kukula kwa misango,Aaya ngamazuba kuti musyobo wacisyango ubizwe,mazazi kaufela atokwahala wa mufuta wa sicalo kuyofita nako ya kutulo.,awa ndi mafuku akukula iwu muchidi wambutu,,Awa akiko makumbi echikuhilangamo a mbuto kana,Uwu mbunandi wa mazuwa kufikira kucha kwa mtundu wambewu,
budget--thisiswaterrequirementforthevariety,budget,,This is water requirement for the variety,Awa ndi madzi amene amafunikira pa mtundu wa mbewu,,,Izi ndi zofunikira za madzi kwa mtunduwo.,,Aya e menshi yafwaikwa ku misango yalekana lekana,Aaya nga meenda ayandika kweendelana amusyobo wacisyango,mezi atokwahala kwa mufuta wa sicalo .,ichi ndichipimu chamenzhi akengékaná kudi iwu muchidi wambutu,ano omeema akebewa pakubaamba auno mutundu wa nkunwa ukakonshe kukomatu bulongo,Awa akiko meya akutamo a mbuto kana,uwu mbunandi wa maji ghakukhumbikwa kwakuyana na mtundu wambewu,
budget--title,budget,,title,mutu,,Ном,mutu,,Umutwe,Mutwe wamakani (title),toho,mutu wasangú,mutwe,Mutwe wachihande,Mutu,
budget--tools,budget,,Tools,zida,,,zida,,Ifyakubomfya,zyibelesyo,Lipangaliko,zhakuzatisha,bintu byakwingijisha mu mingilo,Vitwa,Vilwero,
budget--total,budget,,Total,zonse pamodzi,,,zonse pamodzi,,Ukusanshya fyonse pamo,Kusanganya kwamamanino (Total),Kaufela,zhezhima,byonse pamo,Kuvula cha vyosena,Vyose pamoza,
budget--totalconsumed,budget,,Total Consumed,Zonse zomwe zagwiritsidwa  ntchito (zadyedwa),,,Zonse Zosewenzetsadwa,true,,,,,,,,
budget--totalproduced,budget,,Total Produced,Zokolola zonse,,,Zonse Zokololedwa,true,,,,,,,,
budget--unitcost,budget,,Unit Cost,,,,,,,,,,,,,
