id,tool,context,text,mw_ny,ke_sw,tj_tg,zm_ny,archived,zm_bem,zm_toi,zm_loz,zm_lun,zm_kqn,zm_lue,mw_tum,country_code
forecasts--pleaseselectalocationtoviewforecasts,forecasts,,Please select a location to view forecasts,,,,,,,,,,,,,
forecasts--resources,forecasts,,Resources,zipangizo,,,zipangizo,,Ifintu mwingabomfya,Izyintu zyakubelesya,litusiso,yuma mwawanangá,mwaba wa maali ne bintu byakwingijisha mu bunjimi,Luheto,Vyakugwiriskila ncthito,
forecasts--seasonal,forecasts,,Seasonal,Panyengo,,,Mwa apo ndi apo,,Inshita,Imyaaka yabulimi,myaha,zhamuchilaaka,kimye kyakujima,Chahangonde,Vyakuchitika mu nyengo,
forecasts--shortterm,forecasts,,Short Term,Nthawi yochepa,,,,,,,,,,,,
manual--a,manual,,A,A,A,A,A,,A,A,A,A,A,A,A,
manual--activityflowchart,manual,,Activity Flow Chart,Ndondomeko ya ntchito,,,Chithunzi cha Nchito,,Chati ya mibombele,Icifwanikisi citondezya milimo yakukutauka,Pampili ya misebezi,chipapilu chayuma munakwila,mingilo ya kwingilaiji pa mutanchi wanembwa pakipepala,Lipepa lya vilongeselo vya vikilikita,Ndondomeko yaumo ntchito yikuyendera,
manual--aftertheseason,manual,,After the season,Pakutha pa nyengo,,,Pambuyo pakutha kwa Nyengo,,Panuma ya nshita,Wamana mwaaka wabulimi,myaha wa njimo hase ufelile,hanyima yachilaaka,pakupwa kwamvula ne bunjimi bwayeo mwaka,Kukuma changonde,Paumaliro wa nyengo,
manual--b,manual,,B,B,B,B,B,,B,B,B,B,B,B,B,
manual--budget,manual,,Budget,Ndondomeko ya ndalama,,,Bajeti,,Ubutantiko bwa ndalama,Ibulembo butondezya zyintu zyiyandika kuula,Buitukiso bwa mashelengi,Bajeti,mwaba wa maali,Vilongeselo vyakuzachishilamo jimbongo,Bajeti,
manual--c,manual,,C,C,C,C,C,,C,C,C,C,C,C,C,
manual--comparedifferentoptionsandplans,manual,,Compare different options and plans,Siyanitsani zisankho ndi ma pulani osiyanasiyana,,,Linganizani Zosankha ndi mapulani,,Palanyeni ifyakusalapo ifyapusana na mapange,Amukozyanye akwiindaanya izyapegwa alimwi akupanga makanze,Amu likanyiseze za kuketa ni ze lukisizwe,esekejenu yisakula niyitongózhoka yakudambula,esakanyai na bintu bikwabo,Eseka,yaniskani nakupambaniska ivyo mwasankha na mapulani,
manual--comparingdifferentoptionsandplanningusingparticipatorybudgets,manual,,Comparing different options and planning using Participatory Budgets,Kusiyanitsa zisankho zosiyanasiyana ndikupanga plan kugwiritsa ntchito ma Bajeti opangira pamodzi,,,Kuyerekeza zosankha zosiyanasiyana ndikupanga dongosolo pogwiritsa ntchito Bajeti Yachigawo.,,Ukulinganisha ifyakusalapo ifyapusana no kupanga indalama shakusangwilapo,"Amukozyanye, akwiindaanya zyapengwa alimwi akupanga makanze kwiinda mukubelesya zyomwakalemba zyiyandika kuula",Amu likanyiseze za kuketa ni ze lukisizwe ka kuitusisa buitukiso bwa mashelengi,esekejenu yisakula niyitongózhoka yakudambula kuzatisha zhibajeti zhakutungá hamu,"kwesekanya mwaba wa maali,milangwe ne mashinda akulondela mu mingilo ya bunjimi",Kweseka na jijila jikwavo mwakuzachishila vilongeselo vya jimbongo muchivulu,Kuyaniska nakupambaniska ivyo mwasankha vyakupambanapambana na mapulani pakugwiriska ntchito bajeti iyo mwapanga mwakukoleranako,
manual--cropinfo,manual,,Crop Info,Zokhudza mbeu,,,Zambiri za Mbeu,,Amashiwi ya filimwa,Milumbe iijatikizya zyisyango,Mangusa a li peu,nsangú yambutu,sabwakya wabijimwa,Unjiho wa mazu a vimbuto,Vyakukhwaskana na mbewu,
manual--d,manual,,D,D,D,D,D,,D,D,D,D,D,D,D,
manual--downloadthepicsamanual,manual,,Download the PICSA Manual,Tengani Bukhu la PICSA kuchokera pa intaneti,,,Chitani Daunilodi Buku la PICSA,,Kopololeni icitabo ca PICSA,Amubweze kuzya aaluwaile antela computer imilumbe yabbuku ya PICSA,muunge buka ya PICSA fa luwaile,shenu mukanda wa PICSA mushingá yenu,ikizhai buuku wa mutanchi wa picsa,Sokolola mukanda wa PISCA,Sangani na kutola buku lakulongosola vya PICSA pa intaneti,
manual--duringtheseason,manual,,During the season,Mkatikati mwa sizoni/nyengo,,,Mkati mwa Nyengo,,Mu nshita ya mwaka,Kuciindi cakulimi,Mwahali a silimo,muchilaaka,kimye mkya kujima muye mwaka,Halwola lwa ngonde,Mukatikati mwa nyengo,
manual--e,manual,,E,E,E,E,E,,E,E,E,E,E,E,E,
manual--extension,manual,,Extension,Ulangizi,,,Nyantchito wa zaulimi,,Ukukusha,Milimo iikutaukwa abanasibulimi,Kuekeza,mutayi,kufunjisha banjimi,Chuma vanasuhwisa,Ulangizi,
manual--f,manual,,F,F,F,F,F,,F,F,F,F,F,F,F,
manual--farmer,manual,,Farmer,Mlimi,,,Mlimi,,Umulimi,Mulimi,Mulimi,ndimi,njimi,Njimi,Mulimi,
manual--farmerschoose,manual,,Farmers choose,Alimi amasankha,,,Alimi asankha,,Abalimi basalapo,Mulimi ulasala,Balimi ba kata,andimi asakulangá,njimi kusala,Vanjimi vasakula,Walimi wasankhe,
manual--g,manual,,G,G,G,G,G,,G,G,G,G,G,G,G,
manual--h,manual,,H,H,H,H,H,,H,H,H,H,H,H,H,
manual--historicclimate,manual,,Historic climate,mbiri ya za nyengo,,,Mbiri ya za Nyengo,,Imiceele ya kale,Mbuli luuwo mbolwakaunga myaaka yakainda,lichincelo za myaha ni muiyo za kale,nsangú yakwenda champepela muluzwizwi yamwekeni,"sabwakya panokelo ya mvula,mwela ne lupimpu lwa lubesha",Mijimbu yajingonde jamyaka,Mbiri ya vya nyengo,
manual--i,manual,,I,I,I,I,I,,I,I,I,I,I,I,I,
manual--introduction,manual,,Introduction,Chiyambi,,,Chiyambi,,Intanshi,Matalikilo,ma kalelo,kuvumbula,kulumbulula,Kujimbula,"Kumanyiska ",
manual--istheclimatechanging,manual,,Is the climate changing?,Kodi nyengo ikusintha?,,,Kodi nyengo ikusintha?,,Bushe imiceele ileyaluka?,Syena kuunga kwamuuwo kulalangilwa kucinca,Kana lichincelo za myaha ni muoya za cinca?,mpepela yinakuhimpa,nanchi lubesha ubena kukingya nyi?,Ngonde ili nakwalumuka tahi?,Kasi nyengo yikusintha?,
manual--j,manual,,J,J,J,J,J,,J,J,J,J,J,J,J,
manual--justbeforetheseason,manual,,Just before the season,Sizoni/nyengo isanayambe,,,Nyengo ya Mvula yakhala pang'ono kuyamba,,Ilyo nshita talafika,Mwaaka wabulimi kautanatalika,nako ausika kala kale silimo,henohu chilaaka kanda chitachiki,mvula saka akyangye kutendeka kunoka ne,Chindende kaha shimbu kanda ngonde ihete,Pambere nyengo panji sizoni yindayambe,
manual--k,manual,,K,K,K,K,K,,K,K,K,K,K,K,K,
manual--l,manual,,L,L,L,L,L,,L,L,L,L,L,L,L,
manual--language,manual,,Language,Chilankhulo,,,,,,,,,,,,
manual--learnandimprove,manual,,Learn and improve,Kuphunzira ndi kukonza,,,Phunzilani ndi kusintha,,Sambilileni no kulundulula,Amwiiye akusumpuka,kuituta niku cinca,dizenu kulonda muwahisha yitongózhoka yenu,kufunda ne kumwenamo,Linangule nakuzovoloka,Sambirani nakusinthika,
manual--livelihoodinfo,manual,,Livelihood Info,Zokhudza njira zopezera ndalama,,,Zambiri za makhalidwe,,Amashiwi ya mikalile,Imilumbe kujatikizya bukkale,Mangusa a buino,nsangú yachihandilu,sabwakya wa mingilo ya bukomo,Mijimbu yachiyoyelo,Vyakukhwaskana na nthowa zakusangira ndalama panji kuti bizinesi,
manual--livestockinfo,manual,,Livestock Info,Mauthenga a ziweto,,,Zambiri za ziweto,,Amashiwi nama,Imilumbe kujatikizya zyivwubwa,Lingusa za limunanu,nsangú yayimuna,sabwakya wa bujimi bwa bilelwa,Mijimbu ya vimuna,Vyakukhwaskana na viweto,
manual--longbeforetheseason,manual,,Long before the season,Kutali ndi kuyamba kwa nyengo,,,M'malanga,,Kale ilyo nshita tailafika,Mwaaka wabulimi kautana talika,za kale usika kala kale silimo sa njimo,henohu kanda chilaaka chitachiki,moba atanshi mvula saka akyangye kutendeka kunoka ne,Hashimbwile shimbu kanda ngonde,Pambere nyengo yindayambe,
manual--optionsbycontext,manual,,Options by context,Zisankho potengera nkhani,,,Zosankha Munjirayake,,Ukusalapo ukulingana nefyo balelanda,Izyakusala kwiinda mukulanganya milumbe iiliko,"Za kuketa kuya ka muinelo wa mulimi, balimi ba keta fa lika zakueza",kusakula kweseka nayimwenu yenu,bintu bikwabo byakusalapo,Kujina ckeka,Kusankha na umo mukuvionera,
manual--picsa,manual,,PICSA,PICSA,,,PICSA,true,PICSA,PICSA,PICSA,PICSA,mutanchi wa picsa,PICSA,PICSA,
manual--probabilityandrisk,manual,,Probability and Risk,Kuthekera and Ziopsezo,,,Mpata komanso ziophyezo,true,Ukulingana na mafya,Izyiyeeyelwa kucitika alimwi abubi bunga bwacitika,za ku fumana ni matata,kutela chakumwekana chayuma nikutama chidimu,kweskanya ne kuyuka byaketekelwa kukamweka,Nambala ya nganyo,Mwabi na chofyo,
manual--resourceallocationmapram,manual,,Resource Allocation Map (RAM),Mapu ogawa zinthu zimene tikuyenera kugwiritsa ntchito,,,Chitunzi cha Zomwe tilinazo,,Mapu yakwakanya mpanga,Izyakubelesya kozyinga zyajanika kwiinda mukubelesya Map (RAM),mapa ye bonisa muezezo wa zakufumuna,mukanda wanzhila yamwakungíla madi enu,mwaba wa bintu ne maali akwingijisha pa bujimi bwenu wanembwa,Kupangila luheto kwosena (KLK),Magawiro gha virwero ivyo mukuyenera kgwiriska ntchito,
manual--responsetoforecast,manual,,Response to forecast,Yankho ku ulosi wa nyengo,,,Zomwe tichita ndi uthenga wa zanyengo,,Ukwasuka ku kusobela,Kwiingula kwiinda mukulanganya zyizya kumbele,kualaba za mufukelo wa moya,kwakula yimwenu yakwenda chapempela,mukumbu wakulupimpu lwa lubesha,Kutala ku kuheza heza cha ngonde,Umo mungachitira kwakuyana na kuloska kwa nyengo uko mwapokera,
manual--review,manual,,Review,Kuunikira,,,Ndemanga,,Ukupitulukamo,Kulanganya alimwi,ku bona hape,kuhitulukamu,kupitulukamo jikwabo muyeo mwingilo,Kuhunanana,Kuoneseskaso,
manual--revisit,manual,,Revisit,Kubwereza,,,Yenderansoni,,Ukubwekeshapo,Kujokelela kulangalanga alimwi,ku kutela,kwendela,kubwezhapo mwingilo,Kukindulukiko,kuonaso panji kupangaso kwakupambana na pakudankha,
manual--seasonalcalendar,manual,,Seasonal Calendar,Kalendala ya nyengo,,,Kalenda ya Nyengo,true,Kalenda wa nshita,Kalenda yamwaaka wabulimi,,kalenda yayilaaka,sabwakya bintu byaketekelwa kumweka muyeo mwaka,Makumbi ahangonde,Kalendala ya vyakukhwaskana na nyengo,
manual--seasonalforecast,manual,,Seasonal forecast,ulosi wa nyengo,,,Uthenga wa zanyengo,,Ukusobela kwa nshita,Kulanganya kwamwaaka wabulimi,mufukelo ya moya wa nako,yimwenu yangéndelu yampepela muchilaaka,sabwakya wanokeloo ya mvula ne lubesha,Kuhunanana hangonde,Kuloska kwakukhawaskana na za nyengo,
manual--selectandamend,manual,,Select and amend,sankhani ndipo sinthani,,,Sankhani ndi Kusintha,,Saleni no kwalula,Amusale alimwi akucinca,kuketa ni ku cinca,kusakula ndichi nikuwahisha,salai ne kunembulula jikwabo,Sakula na kwalumuna,Sankhani ndiposo munozge mwakwenerera,
manual--shorttermforecastsandwarnings,manual,,Short-term forecasts and warnings,Ulosi wakanthawi kochepa wa zanyengo ndi ma chenjezo,,,Uthenga wa zanyengo wa nthawi yochepa,,Ukusobela kwa nshita iinono no kucenjesha,Kulanganya kwaciindi cisyoonto alimwi akucenjezyegwa,mufukelo wa moya ya nako ye kuswani ni li mamela,nsangú yangéndelu yampepela nikusongámisha chamukamwihi,"sakwakya wanokelo ya mvula ne lujimuno kune keengi pa ,mvula mukatampe,muyulo nangwa kyaashi mukatampe",Kuhunanana changonde muwihi na kufuza,"Kuloska kwakukhawaskana na za nyengo kwakanyeko kachko kweniso kuchenjezga ",
manual--stepa,manual,,Step A,Gawo A,,,Gawo A,,Ulutampulo A,Intaamu A,Muhato A,nzhila yatachi (A),lutampulo A,Tambo A,Sitepu A,
manual--stepb,manual,,Step B,Gawo B,,,Gawo B,,Ulutampulo B,Intaamu B,Muhato B,nzhila ya B,lutampulo B,Tambo B,Sitepu B,
manual--stepc,manual,,Step C,Gawo C,,,Gawo C,,Ulutampulo C,Intaamu C,Muhato C,nzhila ya c,lutampulo C,Tambo C,Sitepu C,
manual--stepd,manual,,Step D,Gawo D,,,Gawo D,,Ulutampulo D,Intaamu D,Muhato D,nzhila ya D,lutampulo D,Tambo D,Sitepu D,
manual--stepe,manual,,Step E,Gawo E,,,Gawo E,,Ulutampulo E,Intaamu E,Muhato E,nzhila ya E,lutampulo E,Tambo E,Sitepu E,
manual--stepf,manual,,Step F,Gawo F,,,Gawo F,,Ulutampulo F,Intaamu F,Muhato F,nzhila ya F,lutampulo F,Tambo F,Sitepu F,
manual--stepg,manual,,Step G,Gawo G,,,Gawo G,,Ulutampulo G,Intaamu G,Muhato G,nzhila G,lutampulo G,Tambo G,Sitepu G,
manual--steph,manual,,Step H,Gawo H,,,Gawo H,,Ulutampulo H,Intaamu H,Muhato H,nzhila H,lutampulo H,Tambo H,Sitepu H,
manual--stepi,manual,,Step I,Gawo I,,,Gawo I,,Ulutampulo I,Intaamu I,Muhato I,nzhila I,lutampulo I,TamboI,Sitepu I,
manual--stepj,manual,,Step J,Gawo J,,,Gawo J,,Ulutampulo J,Intaamu J,Muhato J,nzhila J,lutampulo J,Tambo J,Sitepu J,
manual--stepk,manual,,Step K,Gawo K,,,Gawo K,,Ulutampulo K,Intaamu K,Muhato K,nzhila K,lutampulo K,Tambo K,Sitepu K,
manual--stepl,manual,,Step L,Gawo L,,,Gawo L,,Ulutampulo L,Intaamu L,Muhato L,nzhila L,lutampulo L,Tambo L,Sitepu L,
manual--thefarmerdecides,manual,,The farmer decides,Mulimi amapanga chiganizo,,,Mlimi asankha zochita,,,Imulimi uleelende kusala,Mulimi wa keta,ndimi wasakulangá zhakwila,njimi aye mwine yeufukula byakuba,Njimi mwasakula omwo nazange,Mulimi wakufika paudumuliro,
manual--whataretheopportunitiesandrisks,manual,,What are the opportunities and risks?,Kodi pali mwayi ndi ziopsezo zotani?,,,Kodi mwayi ndi zoopsa ndi chiyani?,,,Ino mbubotu nzi alimwi ampenzi linga lyacitika?,Kingi ze fumanwa ni matata?,kuwaha nikutamanyi chidimu?,nanchi nanyi byawama ne byatamamo muyeuno mukwekele?,Inyi nganyo na kuvindama muka chiliho,Kasi pali mwabi na chofyo chakuwa uli?,
manual--whataretheoptionsforthefarmer,manual,,What are the options for the farmer?,Zisankho zomwe mulimi alinazo ndi ziti?,,,Kodi nizosankha zotani za m'limi?,,Bushe finshi fintu umulimi engasalapo,Ino mulimi weelende kusala nzi?,Kingi za ku keta ze liteni za mulimi?,yisakulanyi yidihu yawandimi?,bintuka njimi byoafwainwa kusalapo ayemwine?,Inyi jijila jikwavo ja njimi jilihi?,Kasi mulimi wanavisankho uli?,
manual--whataretheprobabilitiesandrisks,manual,,What are the probabilities and risks?,Kodi kuthera koti zikhoza kuchitika komanso ziopzezo zake ndi ziti?,,,Kodi pali m'pata wotani komanso ziophyezo?,,Bushe finshi fingacitika na mafya,Ino ncinzi cilangika kucitika alimwi ampenzi linga lyaba?,king'I zefumanwa ni matata?,kutela chakumwekana chayuma nikutama chidimu,bintuka abyo byaketekelwa kukamwekana ne makatazho ajimo ?,Inyi jnambala muka janganyo nganyo nakuvindama?,Kasi pali myabi na vyofyo vyakuwa uli?,
manual--whatdoesthefarmercurrentlydo,manual,,What does the farmer currently do?,Kodi muliliyu amapanga chiyani pakadali pano?,,,Kodi m'limi achita zotani palipano?,,Bushe finshi umulimi acita pali ini nshita?,Ino ncinzi ncobacita balimi kwa ciindi cino?,Kana mulimi ueza ngi fa nako ye?,ndimi nakwiladi chayinu mpiji?,nanchi njimi ubena kubaka pakino kimye?,Inyi njimi lwola luno anakuzata milimo muka?,Kasi mulimi wakuchitachi panyengo yasono?,
monitoring--accesscode,monitoring,,Access Code,Nambala kapena zilembo zachinsisi zolowera,,,,true,,,,,,,Nambara yakunjilira,
monitoring--allsubmitted,monitoring,,All Submitted,Zonse Zotumizidwa,,,Zonse Zaperekedwa,true,Fyonse fyatumwa,Kutola zyoonse,Ze fitisizwe kaufela,zhezhima zhinatwalewi,byonse inge mwapana,Vosena vahananga lyehi,Vyose vyatumizgika,
monitoring--anerroroccurred,monitoring,,An error occurred,Pachitika vuto,,,,true,,,,,,,pali suzgo,
monitoring--authenticating,monitoring,,Authenticating...,kutsikimiza,,,,true,,,,,,,kusimikizga,
monitoring--clickthecreatenewbuttontoaddasubmission,monitoring,,Click the Create New button to add a submission,"dinani batani la ""create new"" kuti muonjezere",,,,true,,,,,,,"dinani batani la ""create New"" kuti musazgirepo",
monitoring--createnew,monitoring,,Create New,Pangani yatsopano,,,Pangani Chatsopano,true,Ukupanga icipya,Kupanga zyipya,Ku panga ze nca,tungáku chachiha,lengai bintu bikwabo bipya,Tenga chachihya,Pangani chiphya,
monitoring--enteraccesscode,monitoring,,Enter access code,lowetsani nambala/zilembo zachinsinsi zolowera,,,,true,,,,,,,Wikani nambala yakunjilira,
monitoring--errorloadingform,monitoring,,Error loading form,pali vuto kutsegura fomu,,,,true,,,,,,,pali suzgo kujura fomu,
monitoring--formdeleted,monitoring,,Form deleted,fomu yachotsedwa,,,,true,,,,,,,fomu yafumyikapo,
monitoring--formnotfound,monitoring,,Form not found,fomu siyikupezeka,,,,true,,,,,,,fomu yindasangike,
monitoring--forms,monitoring,,Forms,mafomu,,,mafomu,true,Amafomu,Imapepa,Li pampili,nyikanda,bipepala pakunemba,Mapepa akulisonekesa,Mafomu,
monitoring--formsavedsuccessfully,monitoring,,Form saved successfully,fomu yatheka kusungidwa,,,,true,,,,,,,fomu yasungika makola,
monitoring--formsubmittedsuccessfully,monitoring,,Form submitted successfully,fomu yatumizidwa,,,,true,,,,,,,fomu yatumizgika,
monitoring--incorrectaccesscodepleasetryagain,monitoring,,Incorrect access code. Please try again.,Zirembo/Nambala yolowera yachinsinsi ndiyolakwika. Yesaniso,,,,true,,,,,,,Nambara yakunjilira yanangiskika. Yezganiso,
monitoring--loadingform,monitoring,,Loading form...,kutsegura fomu,,,,true,,,,,,,kujura fomu,
monitoring--loadingsubmissions,monitoring,,Loading submissions...,kutumiza fomu,,,,true,,,,,,,kutumizga fomu,
monitoring--nosubmissionsfound,monitoring,,No submissions found,Palibe chatumizidwa,,,,true,,,,,,,palije chatumizgika,
monitoring--records,monitoring,,Records,Ma record,,,Zolemba,true,Ifyakusunga,Milumbe yazyomulemba,zaku ngo'la,nsangú zhasonekewa,masabwakya anembwa,Unhiho wakusoneka,Vyakulemba,
monitoring--restrictedform,monitoring,,Restricted Form,fomu yoletsedwa,,,,true,,,,,,,fomu yokanizgika,
monitoring--status,monitoring,,Status,Udindo,,,,true,,,,,,,Udindo,
monitoring--submissionnotfound,monitoring,,Submission not found,zotumiza sizikupezeka,,,,true,,,,,,,vyakutumizga vindasangike,
monitoring--submissions,monitoring,,Submissions,Zotumizidwa,,,Zopereka,true,Ifya kutuma,Kutola zyiyandikka kuunka,ze fitisizwe,zhinatwaliwu,bintu byanemwa byomwapana,Kuhana,Vyakutumizgika,
monitoring--submit,monitoring,,Submit,Tumizani,,,Perekani,true,Ukutuma,Kutola milumbe,ku fitisa,kutwala,kupana bintu,Hana,Tumisgani panji perekani,
monitoring--thisformrequiresanaccesscodetounlock,monitoring,,This form requires an access code to unlock,lowetsani nambala yolowera kuti mutsehure fomuyi,,,,true,,,,,,,Wikani nambala yakunjilira kuti mujure fomuyi,
monitoring--unlock,monitoring,,Unlock,tsegulani,,,,true,,,,,,,Jurani,
mw:climate.chart.end.definition,climate,,Last occurrence between 1 Oct and 30 Apr with 10 mm rainfall,,,,,,,,,,,,,mw
mw:climate.chart.extreme_rainfall_days.definition,climate,,Rainy days with at least 50mm,,,,,,,,,,,,,mw
mw:climate.chart.length.definition,climate,,Number of days between start and end of the rains,,,,,,,,,,,,,mw
mw:climate.chart.rainfall.definition,climate,,Total rainfall per year from start of the rains to end of the season,,,,,,,,,,,,,mw
mw:climate.chart.start.definition,climate,,First occurrence from 1 Oct with at least 25 mm of rainfall over 3 consecutive days (with no dry spell of length 9 in the next 21 days),,,,,,,,,,,,,mw
mw:climate.chart.temp_max.definition,climate,,The mean maximum and highest maximum daily temperatures per year,,,,,,,,,,,,,mw
mw:climate.chart.temp_min.definition,climate,,The mean minimum and lowest minimum daily temperatures per year,,,,,,,,,,,,,mw
option--activities,option,,Activities,Zochitika,Shughuli,Фаъолият,Zinchito,true,,,,,,,,
option--add,option,,Add,Onjezerani,,,Onjezani,,Ukulundapo,Amusanganye,kubeha,kusha,kuvwanga,Hakilaho,Sazgiranipo,
option--addoption,option,,Add Option,Onjezerani chisankho,,,Onjezani Njira,,Ukulundako ifyakusalapo,Amusanganye naamulayanda,kubeha zaku keta,kusha zhakusakula,kuvwanga byomwasala,Hakilaho jila yikwavo,Sazgiranipo chakusankha,
option--and,option,,and,ndi,,,ndipo,,Kabili,Alimwi kwiindulula,mane,ni,ne,Na,na,
option--bad,option,,Bad,kusachita bwino,,,Zoipa,true,Ububi,Nkukakilwa mwacita bubi,Ze maswe,kutama,byatama,Kupihya,Chiheni,
option--benefit,option,,benefit,Phindu/Ubwino,,,Phindu,,Ukukwata,Nkuba aampindu,ze fumanwa,kuwaninamu,byakumwenamo,Nganyo,Phindu,
option--benefits,option,,Benefits,Phindu,,,Mapindu,,Ukumwenamo,Nkuba aampindu zyinji,Zaku fumana,kuwaninamu,bintu byawama bymwamwenamo,Jinganyo,Phindu,
option--benefitsandwho,option,,Benefits and who,"Phindu ndiamene amapindula ",,,Mapindu ndi Ndani,,Fisuma kabili nani,Nkuba aampindu alimwi nguni,Zaku fumana mi ki mang'I,kuwaninamu ni hinyi,bamwenamo ne bananyi,Jinganyo neya,Phindu na uyo waphindula,
option--both,option,,Both,Zonse ziwiri,,,Zonsezi,,Bonse,Nkucita zyoonse,amoho,zhezhima,bonse pamo,Vosena vavali,Vysose viwiri,
option--crop,option,,Crop,mbewu,,кишт,zokolora,true,,,,,,,,
option--cropoptions,option,,Crop Options,Zisankho zokhudza Mbewu,,,Zosankha za Mbeu,,Ifyakusalapo ifyakulima,Nkusala cisyango ncomuyanda,Za ku keta peu,yisakula ya mbutu,kusalapo bijimwa,Mbuto ikwavo,Visankho vyakukhwaskana na mbewu,
option--days,option,,Days,Masiku,Siku,Рӯзҳо,Masiku,true,,,,,,,,
option--decisions,option,,Decisions,Ziganzo,,,Zosankha,,Ifya kusalapo,Nkusala cakucita,Za ku keta,zhimunasakuli,bintu byomwafukula,Vishinganyeka,Udumuliro,
option--female,option,,Female,Mkazi,,,Mkazi,,Umwanakashi,Bamakaintu mamambe,Musali,mumbanda,wamukazhi,Pwevo,Mwanakazi,
option--finish,option,,Finish,Malizitsani,,,Malizitsani,,Ukupwisha,Nkumanizya,Ma felelezo,kumanisha,kupwisha,Kumisa,Malizgani,
option--good,option,,Good,Kuchita bwino,,,Zabwino,true,Cisuma,Nkucita bubotu,Zende,zhazhiwahi,kyawama,Chamwaza,Chiwemi,
option--high,option,,High,Zambiri,,,Zapamwamba,,Pamulu,Nkusumpuka,Fa halimu,hewulu,peulu,Helu,Kukwera,
option--investment,option,,Investment,Zolowetsa,,,Kuyika Ndalama,,Ukubika indalama,Nkuyaka akucita makwebo,Kubeha masheng'I,kwingízha madi muwuselewa,maali abunonshi,Kusekasana,Vyakunjizga mu bizinesi,
option--investmentintermsofmoneyandtime,option,,Investment in terms of money and time,Zolowesa kumbali yandalama ndi nthawi,,,Kuyika Ndalama Potengera Ndalama ndi Nthawi,,Ukubika indalama mu milandu ya ndalama ne shita,Nkuyobola mali alimwi kulanganya aciindi,Kubeha masheleng'I mwa nako kapa mali,kwingízha madi muwuselewa nikwingízha mpiji,bunonshi bwa maali ne kimye,Kusekasana kuhichila mu jimbongo na lwola,Vyakunjizga kukhwaskana na ndalama panji nyengo,
option--livelihood,option,,Livelihood,Bizinesi,,,Moyo Wabwino,,Imikalile,Nkucinca bukkale bwanu,Buino,chihandilu,bintu byakwingila ne kwikwasha nabyo,Chiyoyelo,Bizinesi,
option--livelihoodoptions,option,,Livelihood Options,Ma bizinesi omwe mutha kusankhapo,,,Zosankha Zokhudza Moyo,,Ukusalapo imikalile,Nkusala kusala kucinca bukkale bwanu,za kuketa buino,kusakula chihandilu,kusala kwabintu bya kwingisha,Chiyoyelo chikwavo,Visankho vyakukhwaskana na bizinesi,
option--livestock,option,,Livestock,ziweto,,чорвоӣ,ziweto,,Inama,Nkuvwuba zyivwubwa,Limunanu,yimuna,bilelwa,Vimuna,Viweto,
option--livestockoptions,option,,Livestock Options,Ulimi waziweto omwe mutha kusankhapo,,,Zosankha Za ziweto Zolima,,Ukusalapo inama,Nkusala kuvwuba zyivwubwa,Limunanu,kusakula yimuna,kusala bilelwa,Vimuna vakwavo,Kusankha kwakukhwaskana na viweto,
option--low,option,,Low,Zotsika,,,Zapansi,,Ukucepa,Nkutakutauka akubula mpindu,Ze inyani,mwishina,munshi,Mwishi,Kukhira,
option--male,option,,Male,Mamuna/chachimuna,,,Mwamuna,,Umwaume,Basankwa mamambe,Muna,iyala,wamulume,Lunga,Mwanalume,
option--medium,option,,Medium,Pakatikati,,,Zapakati,,Ukulinga,Kuba akati-kati,Za fahali,mweseka,waesakana,Vamweseke,Pakatikati,
option--mid,option,,Mid,Pakati,,,Zapakati pa Nyengo,,Pakati,Kuba ivwula koyiwa akati-kati,Fa hali,hakachi,pakachi,Hakachi na kachi,Pakati,
option--money,option,,Money,ndalama,,пул,ndalama,,Indalama,Kuba aamali,Masheleng'i,madi,maali,Jimbongo,Makopala panji ndalama,
option--months,option,,Months,Miyezi,Miezi,моҳҳо,Miyezi,,Imyeshi,Kutobela myeezi,Likweli,tukwezhi,banondo,Tukweji,Myezi,
option--nameofpractice,option,,Name of practice,Dzina la business,,,Dzina la Kachitidwe,,Ishina lya mibombele,Musyobo wakulima ngomubelesya,Libizo la muezezo,izina danyidimu,jizhina ja bintu byomukeba kuba,Lijina lya vikilikita,Zina la ivyo mukuchita panji bizinesi,
option--negative,option,,Negative,,,,,,,,,,,,,
option--neutral,option,,Neutral,Pakatikati/ndilibe mbali,,,Wosasankha mbali,,Pakati,Nkuba akati-kati,Kusa ketuluwa,kwikala hakachi,kwikalatu pakachi,Hakachi kachi,kukhala kwambula luwande,
option--only,option,,Only,Basi,,,Zokha,,fye,Kusala comwe,Ona ze fela,hohu,byonkabyo bunke,Chimwe kaha,Pera,
option--performance,option,,Performance,Momwe zikuyendera/momwe zikugwilira ntchito,,,Kuchita Bwino,,Imibombele,Nkucita buyandika kukutauka,Muezezo,chipimu chakwila nyidimu,kwingila mingila bulongo,Milimo,Umo vikuyendera,
